,Generations,Evaluations,BestEver,Best,Median,Worst
0,1,300,6.597926763682963,6.597926763682963,-486.7915567263601,-5506.500678115149
1,2,600,285.34525090998466,285.34525090998466,-250.45807459877173,-4141.973542016544
2,3,900,285.34525090998466,39.678984414445836,-164.46450221051242,-13469.392314660192
3,4,1200,285.34525090998466,260.72859516944567,-147.81329913295394,-20562.808087502497
4,5,1500,285.34525090998466,83.7896532770128,-138.67106198832033,-4746.03539324272
5,6,1800,285.34525090998466,193.37179127590593,-138.41666469169536,-9495.437386621876
6,7,2100,285.34525090998466,284.070791731363,-136.2032902335872,-3640.0709905696513
7,8,2400,291.34972496390964,291.34972496390964,-126.91921000424428,-19580.76418568778
8,9,2700,291.34972496390964,209.52841600645326,-125.4455163859119,-22166.42287572884
9,10,3000,291.34972496390964,168.12646436961475,-124.45350740880338,-2313.479496231355
10,11,3300,291.34972496390964,177.7707977320476,-89.6438899039431,-12400.865464902581
11,12,3600,291.34972496390964,158.55773532477042,-89.44254223944738,-12856.37700377584
12,13,3900,291.34972496390964,260.29332229531485,-56.422450455719115,-2942.7883587971123
13,14,4200,291.34972496390964,227.55743926333875,-68.99376311362003,-1810.4595770568974
14,15,4500,291.34972496390964,182.76338759822065,-37.03475813634246,-2258.8434057461736
15,16,4800,291.34972496390964,227.19357409372526,-29.515258706139832,-19555.4193759668
16,17,5100,291.34972496390964,260.54459707538194,-39.081254413781025,-2484.3145952768514
17,18,5400,291.34972496390964,253.57042747076898,-30.415921893134424,-4248.496724676899
18,19,5700,291.34972496390964,251.01225318221412,-23.750544683017594,-1959.6518285074826
19,20,6000,291.34972496390964,270.4101011164929,-10.91013110101673,-6294.795872241657
20,21,6300,291.34972496390964,278.0543442041698,-5.0503690006483595,-11008.502720130047
21,22,6600,291.34972496390964,264.0464440488221,-5.36691289960342,-6952.119064174976
22,23,6900,291.34972496390964,272.3737380952439,6.703877706683855,-1460.7893502892393
23,24,7200,291.34972496390964,286.47929786414403,12.48452236435466,-1307.1113484978964
24,25,7500,294.0851070096803,294.0851070096803,13.236745344372764,-2029.7903609950781
25,26,7800,294.0851070096803,283.4187192024825,18.672855068817846,-912.8167326674048
26,27,8100,294.0851070096803,283.73510604682053,20.500173989183764,-9389.523021327854
27,28,8400,298.9610876571748,298.9610876571748,37.43968958507716,-12350.728767577917
28,29,8700,298.9610876571748,293.3697554182146,48.52653028353873,-784.2390175060564
29,30,9000,298.9610876571748,295.61832273849234,48.299685871160165,-3361.7676660076245
30,31,9300,298.9610876571748,290.89674447754976,71.44170718184648,-726.8047033735427
31,32,9600,298.9610876571748,293.83084942048276,134.47811992787618,-752.6388648170229
32,33,9900,298.9610876571748,297.7963116209714,150.54833996561854,-1042.5219157698907
33,34,10200,301.7004206933826,301.7004206933826,114.70940563225541,-368.0159179880097
34,35,10500,301.7004206933826,276.4903909999589,169.88100730803544,-331.8782023316078
35,36,10800,301.7004206933826,295.48196855644136,173.68488374032728,-461.9872304418859
36,37,11100,301.7004206933826,288.2017482188134,150.01490255050982,-540.2173320792932
37,38,11400,301.7004206933826,287.4484747360287,148.8132605533546,-351.2192304041464
38,39,11700,301.7004206933826,287.82766719005485,174.44807198642343,-321.28434758013776
39,40,12000,301.7004206933826,298.12372294834597,170.161733845568,-365.22025561343986
40,41,12300,301.7004206933826,301.38600220198026,159.83039442586255,-362.22339257986226
41,42,12600,301.7004206933826,292.91854399685866,194.91087805817358,-362.12446837194034
42,43,12900,302.21901905050873,302.21901905050873,172.75955573615806,-608.455348540085
43,44,13200,302.21901905050873,290.1961313361469,186.76784402906247,-923.5333146370024
44,45,13500,302.21901905050873,294.4231016211661,174.06839682787242,-300.2074224130246
45,46,13800,302.21901905050873,297.21330227629784,158.6090296738587,-440.80889910424116
46,47,14100,302.21901905050873,288.38259336575095,187.1878667048253,-369.62582584946716
